@RELATION gaze_labels

%@METADATA width_px 1280
%@METADATA height_px 720
%@METADATA width_mm 400.00
%@METADATA height_mm 225.00
%@METADATA distance_mm 450.00


@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER
@ATTRIBUTE speed_1 NUMERIC
@ATTRIBUTE direction_1 NUMERIC
@ATTRIBUTE acceleration_1 NUMERIC
@ATTRIBUTE speed_2 NUMERIC
@ATTRIBUTE direction_2 NUMERIC
@ATTRIBUTE acceleration_2 NUMERIC
@ATTRIBUTE speed_4 NUMERIC
@ATTRIBUTE direction_4 NUMERIC
@ATTRIBUTE acceleration_4 NUMERIC
@ATTRIBUTE speed_8 NUMERIC
@ATTRIBUTE direction_8 NUMERIC
@ATTRIBUTE acceleration_8 NUMERIC
@ATTRIBUTE speed_16 NUMERIC
@ATTRIBUTE direction_16 NUMERIC
@ATTRIBUTE acceleration_16 NUMERIC

% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%The number after speed, direction denotes the step size that was used for the calculation.
%Acceleration was calculated between two adjacent samples of the already low pass filtered velocity

@DATA
2000,599.50,320.70,1.00,1,0,1,0.00,0.00,0.00,25.00,0.00,0.00,39.53,-0.32,0.00,22.53,-0.59,0.00,42.50,-0.94,0.00
6000,599.60,320.70,1.00,1,1,1,25.00,0.00,6250.00,39.53,-0.32,4419.42,27.95,-0.46,3125.00,27.95,-0.46,1562.50,46.31,-1.04,1466.68
10000,599.80,320.60,1.00,1,1,1,55.90,-0.46,8838.83,27.95,-0.46,3125.00,22.53,-0.59,1562.50,50.39,-1.45,10481.57,37.27,-1.11,2357.02
14000,599.80,320.60,1.00,1,1,1,0.00,0.00,13975.42,12.50,-1.57,6250.00,27.95,-0.46,1562.50,44.19,-1.43,1562.50,36.06,-0.98,1178.51
18000,599.80,320.50,1.00,1,1,1,25.00,-1.57,6250.00,27.95,-0.46,6250.00,50.39,-1.45,10481.57,42.50,-0.94,5240.78,33.33,-0.93,833.33
22000,600.00,320.50,1.00,1,1,1,50.00,0.00,13975.42,88.39,-1.43,19008.63,44.19,-1.43,1562.50,46.31,-1.04,1466.68,28.48,-1.21,2500.00
26000,599.90,319.80,1.00,1,1,1,176.78,-1.71,47598.58,76.03,-1.74,6987.71,64.35,-1.06,6987.71,37.27,-1.11,2357.02,14.91,0.46,8374.90
30000,599.90,319.90,1.00,1,1,1,25.00,1.57,50389.11,55.90,-0.46,20009.76,74.57,-1.28,4519.74,36.06,-0.98,1178.51,23.54,0.46,2157.61
34000,600.30,319.60,1.00,1,1,1,125.00,-0.64,35355.34,94.28,-0.79,11219.09,31.94,-0.46,14396.89,33.33,-0.93,833.33,23.26,-0.74,6632.57
36000,600.30,319.50,1.00,1,1,1,50.00,-1.57,51538.82,0.00,0.00,47140.45,38.47,-0.38,3571.43,28.48,-1.21,5000.00,24.58,-0.95,2575.39
40000,600.30,319.60,1.00,1,1,1,25.00,1.57,18750.00,27.95,1.11,6987.71,10.10,0.79,8928.57,14.91,0.46,8374.90,24.29,-1.08,798.60
44000,600.40,319.70,1.00,1,1,1,35.36,0.79,6250.00,17.68,0.79,3125.00,12.50,1.57,2232.14,23.54,0.46,2157.61,27.11,-1.25,1287.70
48000,600.40,319.70,1.00,1,1,1,0.00,0.00,8838.83,12.50,3.14,6987.71,25.00,1.57,3125.00,10.53,0.00,3721.61,23.56,-1.33,1010.15
52000,600.30,319.70,1.00,1,1,1,25.00,3.14,6250.00,39.53,1.89,9375.00,27.95,1.11,3125.00,9.01,-0.59,1461.13,21.36,-1.21,842.32
56000,600.30,320.00,1.00,1,1,1,75.00,1.57,19764.24,45.07,0.98,9375.00,13.18,-0.32,7291.67,14.58,-1.03,1875.00,15.05,-0.84,2275.03
68000,600.70,320.30,1.00,1,1,1,41.67,0.64,5007.71,35.36,-0.79,5208.33,20.83,-0.93,1041.67,22.50,-1.57,1041.67,15.05,-0.84,0.00
