% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
2000,599.5,320.7,1.0,1,0,1
6000,599.6,320.7,1.0,1,1,1
10000,599.8,320.6,1.0,1,1,1
14000,599.8,320.6,1.0,1,1,1
18000,599.8,320.5,1.0,1,1,1
22000,600.0,320.5,1.0,1,1,1
26000,599.9,319.8,1.0,1,1,1
30000,599.9,319.9,1.0,1,1,1
34000,600.3,319.6,1.0,1,1,1
36000,600.3,319.5,1.0,1,1,1
40000,600.3,319.6,1.0,1,1,1
44000,600.4,319.7,1.0,1,1,1
48000,600.4,319.7,1.0,1,1,1
52000,600.3,319.7,1.0,1,1,1
56000,600.3,320.0,1.0,1,1,1
68000,600.7,320.3,1.0,1,1,1
72000,600.7,319.6,1.0,1,1,1
76000,600.6,319.3,1.0,1,1,1
80000,600.6,319.1,1.0,1,1,1
84000,600.4,318.8,1.0,1,1,1
88000,600.2,318.9,1.0,1,1,1
102000,600.6,318.9,1.0,1,1,1
106000,600.7,318.9,1.0,1,1,1
110000,600.7,319.0,1.0,1,1,1
114000,600.7,318.8,1.0,1,1,1
118000,600.6,318.7,1.0,1,1,1
122000,600.3,319.0,1.0,1,1,1
126000,600.2,319.3,1.0,1,1,1
133000,600.1,319.3,1.0,1,1,1
137000,600.1,319.2,1.0,1,1,1
141000,599.8,319.2,1.0,1,1,1
145000,600.1,319.2,1.0,1,1,1
149000,600.1,319.2,1.0,1,1,1
153000,600.1,319.1,1.0,1,1,1
157000,600.2,319.0,1.0,1,1,1
168000,600.3,319.3,1.0,1,1,1
172000,600.5,319.2,1.0,1,1,1
176000,600.6,319.2,1.0,1,1,1
180000,600.7,319.2,1.0,1,1,1
184000,600.7,319.2,1.0,1,1,1
188000,600.7,319.2,1.0,1,1,1
192000,600.7,319.3,1.0,1,1,1
203000,600.7,319.3,1.0,1,2,1
207000,600.5,319.6,1.0,1,2,1
211000,600.5,319.8,1.0,1,2,1
215000,600.5,320.1,1.0,1,2,1
219000,599.8,321.2,1.0,1,2,1
223000,599.5,325.2,1.0,2,2,2
227000,599.4,336.8,1.0,2,2,2
231000,601.2,367.9,1.0,2,2,2
235000,606.2,401.7,1.0,2,2,2
236000,612.5,445.4,1.0,2,2,2
237000,620.2,482.3,1.0,2,2,2
241000,635.3,518.2,1.0,2,2,2
245000,651.1,544.8,1.0,2,2,2
249000,664.3,563.9,1.0,2,2,2
253000,666.8,579.1,1.0,2,2,2
267000,669.0,591.9,1.0,2,2,2
271000,669.2,592.9,1.0,2,2,2
275000,669.3,593.3,1.0,3,1,3
279000,669.0,593.5,1.0,3,1,3
283000,669.0,593.6,1.0,3,1,3
287000,669.0,593.9,1.0,3,1,3
301000,669.9,594.1,1.0,3,1,3
305000,670.8,594.1,1.0,3,1,3
309000,671.5,594.1,1.0,3,1,3
313000,672.2,594.1,1.0,3,1,3
317000,673.1,594.0,1.0,3,1,3
321000,673.5,594.0,1.0,3,1,3
325000,673.8,594.1,1.0,3,1,3
329000,674.2,594.1,1.0,3,1,3
336000,674.4,594.5,1.0,3,1,3
340000,674.3,594.5,1.0,3,1,3
344000,674.4,594.5,1.0,3,1,3
348000,674.4,594.6,1.0,3,1,3
352000,674.7,594.8,1.0,3,1,3
356000,675.6,594.7,1.0,3,1,3
368000,675.8,594.6,1.0,3,1,3
372000,677.5,594.2,1.0,3,1,3
376000,677.8,594.1,1.0,3,1,3
380000,678.0,593.9,1.0,3,1,3
384000,677.9,594.2,1.0,3,1,3
388000,678.2,594.3,1.0,3,1,3
392000,678.4,594.4,1.0,3,1,3
402000,678.6,594.8,1.0,3,1,3
406000,679.2,595.4,1.0,3,1,3
410000,679.8,596.0,1.0,3,1,3
414000,680.5,596.0,1.0,3,1,3
418000,681.2,596.1,1.0,3,1,3
422000,681.3,596.4,1.0,3,1,3
426000,681.7,596.2,1.0,3,1,3
430000,682.1,596.0,1.0,3,1,3
434000,682.5,595.9,1.0,3,1,3
436000,682.9,595.7,1.0,3,1,3
440000,683.6,595.0,1.0,3,1,3
444000,683.7,594.6,1.0,3,1,3
448000,684.6,594.9,1.0,3,1,3
452000,685.0,595.1,1.0,3,1,3
467000,686.3,595.4,1.0,3,1,3
471000,686.5,595.6,1.0,3,1,3
475000,686.5,595.7,1.0,3,1,3
479000,686.6,595.7,1.0,3,1,3
483000,687.3,595.3,1.0,3,1,3
487000,688.1,594.8,1.0,3,1,3
491000,690.1,593.8,1.0,3,1,3
503000,690.9,593.9,1.0,3,1,3
507000,691.0,594.0,1.0,3,1,3
511000,691.1,594.2,1.0,3,1,3
515000,691.6,594.2,1.0,3,1,3
519000,693.8,594.3,1.0,3,1,3
523000,693.7,594.4,1.0,3,1,3
527000,693.9,595.2,1.0,3,1,3
536000,694.0,595.5,1.0,3,1,3
540000,694.3,595.8,1.0,3,1,3
544000,695.0,596.4,1.0,3,1,3
548000,695.6,596.5,1.0,3,1,3
552000,695.6,596.3,1.0,3,1,3
556000,695.6,596.2,1.0,3,1,3
568000,696.7,595.7,1.0,3,1,3
572000,697.2,581.2,1.0,2,2,2
576000,700.3,562.3,1.0,2,2,2
580000,703.8,531.4,1.0,2,2,2
584000,708.0,494.9,1.0,2,2,2
588000,707.3,463.7,1.0,2,2,2
600000,707.4,431.7,1.0,2,2,2
604000,705.0,402.3,1.0,2,2,2
608000,705.4,401.4,1.0,2,2,2
612000,705.8,400.6,1.0,3,1,1
616000,706.2,400.2,1.0,3,1,1
620000,706.5,399.9,1.0,3,1,1
624000,706.4,398.0,1.0,3,1,1
628000,706.4,397.0,1.0,3,1,1
632000,706.9,396.6,1.0,3,1,1
636000,707.5,397.6,1.0,3,1,1
637000,708.1,398.5,1.0,3,1,1
640000,708.2,399.9,1.0,3,1,1
644000,708.6,401.3,1.0,3,1,1
648000,708.9,402.3,1.0,3,1,1
652000,709.5,402.4,1.0,3,1,1
667000,709.7,402.6,1.0,3,1,1
671000,710.0,403.0,1.0,3,1,1
675000,710.5,404.0,1.0,3,1,1
679000,710.7,405.4,1.0,3,1,1
683000,710.8,405.6,1.0,3,1,1
687000,710.9,405.7,1.0,3,1,1
691000,711.3,408.1,1.0,3,1,1
702000,711.5,408.1,1.0,3,1,1
706000,712.0,408.2,1.0,3,1,1
