%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
% - 0 is UNKNOWN
% - 1 is FIX (fixation)
% - 2 is SACCADE
% - 3 is SP (smooth pursuit)
% - 4 is NOISE
% 
% The number after speed, direction denotes the step size that was used for the calculation.
% Acceleration was calculated between two adjacent samples of the already low pass filtered velocity
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER
@ATTRIBUTE speed_1 NUMERIC
@ATTRIBUTE direction_1 NUMERIC
@ATTRIBUTE acceleration_1 NUMERIC
@ATTRIBUTE speed_2 NUMERIC
@ATTRIBUTE direction_2 NUMERIC
@ATTRIBUTE acceleration_2 NUMERIC
@ATTRIBUTE speed_4 NUMERIC
@ATTRIBUTE direction_4 NUMERIC
@ATTRIBUTE acceleration_4 NUMERIC
@ATTRIBUTE speed_8 NUMERIC
@ATTRIBUTE direction_8 NUMERIC
@ATTRIBUTE acceleration_8 NUMERIC
@ATTRIBUTE speed_16 NUMERIC
@ATTRIBUTE direction_16 NUMERIC
@ATTRIBUTE acceleration_16 NUMERIC
@ATTRIBUTE EYE_MOVEMENT_TYPE {UNKNOWN, FIX, SACCADE, SP, NOISE, BLINK, NOISE_CLUSTER, PSO}

@DATA
2000,599.5,320.7,1.0,1,0,1,0.0,0.0,0.0,0.9549949,0.0,0.0,1.5100379,-0.32,0.0,0.8606414,-0.59,0.0,1.6234913,-0.94,0.0,FIX
6000,599.6,320.7,1.0,1,1,1,0.9549949,0.0,6250.0,1.5100379,-0.32,4419.42,1.0676843,-0.46,3125.0,1.0676843,-0.46,1562.5,1.7690326,-1.04,1466.68,FIX
10000,599.8,320.6,1.0,1,1,1,2.1353686,-0.46,8838.83,1.0676843,-0.46,3125.0,0.8606414,-0.59,1562.5,1.9248877,-1.45,10481.57,1.4237064,-1.11,2357.02,FIX
14000,599.8,320.6,1.0,1,1,1,0.0,0.0,13975.42,0.47749746,-1.57,6250.0,1.0676843,-0.46,1562.5,1.688049,-1.43,1562.5,1.3774847,-0.98,1178.51,FIX
18000,599.8,320.5,1.0,1,1,1,0.9549949,-1.57,6250.0,1.0676843,-0.46,6250.0,1.9248877,-1.45,10481.57,1.6234913,-0.94,5240.78,1.2731993,-0.93,833.33,FIX
22000,600.0,320.5,1.0,1,1,1,1.9099898,0.0,13975.42,3.3764799,-1.43,19008.63,1.688049,-1.43,1562.5,1.7690326,-1.04,1466.68,1.0879302,-1.21,2500.0,FIX
26000,599.9,319.8,1.0,1,1,1,6.7529597,-1.71,47598.58,2.9043305,-1.74,6987.71,2.4581568,-1.06,6987.71,1.4237064,-1.11,2357.02,0.569559,0.46,8374.9,FIX
30000,599.9,319.9,1.0,1,1,1,0.9549949,1.57,50389.11,2.1353686,-0.46,20009.76,2.848559,-1.28,4519.74,1.3774847,-0.98,1178.51,0.8992232,0.46,2157.61,FIX
34000,600.3,319.6,1.0,1,1,1,4.7749743,-0.64,35355.34,3.6014767,-0.79,11219.09,1.2201015,-0.46,14396.89,1.2731993,-0.93,833.33,0.8885273,-0.74,6632.57,FIX
36000,600.3,319.5,1.0,1,1,1,1.9099898,-1.57,51538.82,0.0,0.0,47140.45,1.4695462,-0.38,3571.43,1.0879302,-1.21,5000.0,0.938951,-0.95,2575.39,FIX
